timestamp,pm1_mean,pm1_err,pm25_mean,pm25_err,pm10_mean,pm10_err
1776900961.2474248,3.0,0.0,4.0,0.0,4.0,0.0
1776900965.2496336,3.0,0.0,4.0,0.0,4.0,0.0
1776900969.2863753,3.0,0.0,4.0,0.0,4.0,0.0
1776900973.287182,3.0,0.0,4.0,0.0,4.0,0.0
1776900977.3406541,3.0,0.0,4.0,0.0,4.0,0.0
1776900981.3640358,3.0,0.0,4.0,0.0,4.0,0.0
1776900985.3468297,3.0,0.0,4.0,0.0,4.0,0.0
1776900989.3761182,3.0,0.0,4.0,0.0,4.0,0.0
1776900993.3762248,3.0,0.0,4.0,0.0,4.0,0.0
1776900997.3668838,3.0,0.0,4.0,0.0,4.5,0.5
1776901001.3918605,3.0,0.0,4.0,0.0,5.0,0.0
1776901005.3922076,3.0,0.0,4.0,0.0,5.0,0.0
1776901009.3789692,3.0,0.0,4.0,0.0,5.0,0.0
1776901013.4282718,3.0,0.0,4.0,0.0,5.0,0.0
1776901017.4160416,3.0,0.0,4.0,0.0,5.0,0.0
1776901021.4169157,3.0,0.0,4.0,0.0,5.0,0.0
1776901025.4333386,3.0,0.0,4.0,0.0,5.0,0.0
1776901029.4414315,3.0,0.0,4.0,0.0,5.0,0.0
1776901033.4886916,3.0,0.0,4.0,0.0,5.5,0.5
1776901037.4709513,3.0,0.0,4.0,0.0,6.0,0.0
1776901041.5237377,4.0,0.0,5.0,0.0,6.0,0.0
1776901045.5277934,4.0,0.0,5.0,0.0,6.5,0.5
1776901049.5359998,4.0,0.0,5.0,0.0,7.0,0.0
1776901053.5534039,3.0,0.0,5.0,0.0,6.0,0.0
1776901057.5646443,3.0,0.0,5.0,0.0,6.0,0.0
1776901061.5897543,3.0,0.0,5.0,0.0,6.0,0.0
1776901065.5807812,3.0,0.0,5.0,0.0,6.0,0.0
1776901069.5966227,3.0,0.0,5.0,0.0,6.0,0.0
1776901073.5943837,3.0,0.0,5.0,0.0,6.0,0.0
1776901077.6098871,3.0,0.0,5.0,0.0,5.0,0.0
1776901081.63334,3.0,0.0,5.0,0.0,5.0,0.0
1776901085.6216822,3.0,0.0,5.0,0.0,5.0,0.0
1776901089.6395535,3.0,0.0,5.0,0.0,5.0,0.0
