time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um
1770854655.4652894,0,0,0,0,0,0,192,46,6,1,0,0
1770854657.4676547,0,0,0,0,0,0,210,50,9,1,0,0
1770854659.4699664,0,0,0,0,0,0,210,50,9,1,0,0
1770854661.4725153,0,0,0,0,0,0,210,50,9,1,0,0
1770854663.473725,0,1,1,0,1,1,219,53,8,1,0,0
1770854665.4755988,0,1,1,0,1,1,219,53,8,1,0,0
1770854667.4778807,0,1,1,0,1,1,219,53,8,1,0,0
1770854669.4801598,0,1,1,0,1,1,246,59,7,1,0,0
1770854671.482434,0,1,1,0,1,1,246,59,7,1,0,0
1770854673.484743,0,1,1,0,1,1,246,59,7,1,0,0
