time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772062241.7860184,0,0,1,0,0,1,141,39,8,1,0,0,34.20578125,292718,100,722.9113071253112,2758.687266796297
1772062243.8003633,0,0,1,0,0,1,153,45,8,1,0,0,23.253046875,38188,58.68521137606802,1009.258344656913,33.28638947100655
1772062245.813548,0,0,1,0,0,1,153,45,8,1,0,0,23.2716015625,44107,58.45612001667141,1009.2502513495031,33.353987711657666
1772062247.826718,0,0,1,0,0,1,153,45,8,1,0,0,23.2942578125,53646,58.28736516473236,1009.2542772768988,33.32036165012567
1772062249.8396842,0,0,1,0,0,1,147,41,8,1,0,0,23.3159375,61811,58.06576481207291,1009.2567154283001,33.29999734436044
1772062251.852632,0,0,1,0,0,1,147,41,8,1,0,0,23.3383984375,69405,57.758768447363224,1009.2622406495668,33.25384888295486
1772062253.8656468,0,0,1,0,0,1,147,41,8,1,0,0,23.35578125,76783,57.44493872318132,1009.2649798651997,33.23097013081998
1772062255.8786798,0,1,1,0,1,1,171,47,9,1,0,0,23.3739453125,83395,57.13170974021506,1009.259883738617,33.27353455173215
1772062257.89167,0,1,1,0,1,1,171,47,9,1,0,0,23.3903515625,89675,56.910630537011464,1009.2501111754475,33.355158500108125
1772062259.9047258,0,1,1,0,1,1,171,47,9,1,0,0,23.405,97808,56.72890651598898,1009.2393035308324,33.44542856473161
1772062261.9170384,0,0,0,0,0,0,171,47,5,0,0,0,23.4175,103251,56.586376404804035,1009.2432128527765,33.41277614751782
1772062263.929405,0,0,0,0,0,0,171,47,5,0,0,0,23.43078125,108462,56.47026026241612,1009.244748661027,33.39994841346854
1772062265.9403958,0,0,0,0,0,0,171,47,5,0,0,0,23.441328125,112908,56.38002366122112,1009.2509479657529,33.34816930266532
1772062267.9518628,0,0,0,0,0,0,171,49,8,0,0,0,23.4524609375,116954,56.23100657351493,1009.2471737529991,33.37969302974402
1772062269.9649148,0,0,0,0,0,0,171,49,8,0,0,0,23.4618359375,121051,56.14071457235458,1009.2423658197675,33.4198509399315
1772062271.9780478,0,0,0,0,0,0,171,49,8,0,0,0,23.4719921875,124470,56.070184959414284,1009.2388256988312,33.449419639797775
1772062273.990746,0,0,0,0,0,0,165,47,9,0,0,0,23.4801953125,127625,56.0386297652346,1009.2412183482146,33.42943513493175
1772062276.0036876,0,0,0,0,0,0,165,47,9,0,0,0,23.486640625,130652,55.98722846373889,1009.2334736329716,33.49412268706117
1772062278.0167077,0,0,0,0,0,0,165,47,9,0,0,0,23.4925,133422,55.94882757687658,1009.2375234104496,33.46029696567709
1772062280.0296607,0,1,1,0,1,1,198,58,12,0,0,0,23.4969921875,136311,55.86451897662807,1009.2357118160969,33.47542827379259
1772062282.042729,0,1,1,0,1,1,198,58,12,0,0,0,23.49953125,138561,55.806093953376276,1009.2398337987962,33.44099952192206
1772062284.0556743,0,1,1,0,1,1,198,58,12,0,0,0,23.504609375,140887,55.77414830308234,1009.2353314819121,33.47860501078616
1772062286.0687034,1,1,1,1,1,1,228,68,15,1,0,0,23.5096875,142828,55.74873520756618,1009.2308289796847,33.516212183577174
1772062288.0816917,1,1,1,1,1,1,228,68,15,1,0,0,23.5153515625,145062,55.70382619916096,1009.2290984177882,33.530666746771814
1772062290.0946975,1,1,1,1,1,1,228,68,15,1,0,0,23.52140625,146875,55.63288366758509,1009.2243599184475,33.57024528832101
1772062292.1076784,1,1,1,1,1,1,222,68,16,1,0,0,23.52765625,149364,55.56851483048754,1009.2254011142509,33.56154863785767
1772062294.120713,1,1,1,1,1,1,222,68,16,1,0,0,23.5321484375,151158,55.46481209185633,1009.2235886312908,33.5766875152898
1772062296.1336372,1,1,1,1,1,1,222,68,16,1,0,0,23.5372265625,152597,55.28959603516041,1009.2209062109273,33.599092639763484
1772062298.1454017,0,1,1,0,1,1,216,66,14,1,0,0,23.542890625,154199,55.21874873686239,1009.2082487606491,33.704815627102334
1772062300.1571777,0,1,1,0,1,1,216,66,14,1,0,0,23.548359375,155560,55.141392673004276,1009.2134841064594,33.66108659521766
1772062302.1701612,0,1,1,0,1,1,216,66,14,1,0,0,23.5520703125,157366,54.99879107222391,1009.212223912539,33.67161254216661
1772062304.1832085,0,1,1,0,1,1,204,62,14,1,0,0,23.5567578125,158784,54.921415538191354,1009.2180120003097,33.62326681286566
1772062306.196193,0,1,1,0,1,1,204,62,14,1,0,0,23.5622265625,159791,54.87016784763612,1009.2159629636168,33.64038162325193
1772062308.2091255,0,1,1,0,1,1,204,62,14,1,0,0,23.5653515625,161253,54.80562207980189,1009.215572467696,33.64364328772185
1772062310.222083,0,1,1,0,1,1,204,64,14,1,0,0,23.569453125,162442,54.74123042843462,1009.2185882116801,33.618453947392226
1772062312.2347128,0,1,1,0,1,1,204,64,14,1,0,0,23.573359375,162893,54.65735946165579,1009.2176446955804,33.626334765033256
1772062314.2476616,0,1,1,0,1,1,204,64,14,1,0,0,23.5774609375,164566,54.65791614003906,1009.2170181383719,33.631568153429974
1772062316.2606604,0,1,1,0,1,1,186,62,14,1,0,0,23.5801953125,164874,54.651796299405746,1009.2141722409567,33.65533885954726
1772062318.273616,0,1,1,0,1,1,186,62,14,1,0,0,23.5809765625,166588,54.59349346953624,1009.2172614996664,33.629535450982544
1772062320.286383,0,1,1,0,1,1,186,62,14,1,0,0,23.5817578125,167220,54.50277676305808,1009.2203507633432,33.60373206488502
1772062322.2992887,0,1,1,0,1,1,162,54,14,1,0,0,23.583125,168017,54.412182519629916,1009.2189277929474,33.615617560532804
1772062324.3110197,0,1,1,0,1,1,162,54,14,1,0,0,23.585078125,168984,54.36059209254642,1009.2111714226006,33.680403620547985
1772062326.3227787,0,1,1,0,1,1,162,54,14,1,0,0,23.5872265625,169798,54.33496040972648,1009.2037320208552,33.742542539194176
1772062328.334553,0,1,1,0,1,1,156,52,11,1,0,0,23.5876171875,170290,54.34149338906635,1009.2007238223907,33.767669154143526
1772062330.347561,0,1,1,0,1,1,156,52,11,1,0,0,23.5878125,171117,54.3609617085334,1009.1919352011303,33.84107832244921
1772062332.360501,0,1,1,0,1,1,156,52,11,1,0,0,23.5868359375,171283,54.399719468538706,1009.190350067416,33.85431860536107
1772062334.3735893,0,1,1,0,1,1,168,56,10,1,0,0,23.5868359375,171784,54.4451009551554,1009.1885289403399,33.86953011113465
1772062336.3866713,0,1,1,0,1,1,168,56,10,1,0,0,23.5872265625,172625,54.51000341629676,1009.1964475060013,33.80338809708233
1772062338.398953,0,1,1,0,1,1,168,56,10,1,0,0,23.5883984375,172794,54.5815224885847,1009.1892440185491,33.86355720497271
1772062340.4120617,0,1,1,0,1,1,138,46,7,1,0,0,23.5899609375,173817,54.60769029892665,1009.1954224972989,33.81194974263876
1772062342.4250667,0,1,1,0,1,1,138,46,7,1,0,0,23.591328125,174160,54.64032575581716,1009.1958205471527,33.80862492928821
1772062344.4380155,0,1,1,0,1,1,138,46,7,1,0,0,23.594453125,170785,54.71865294344591,1009.1990718273856,33.78146781818417
1772062346.4509394,0,0,0,0,0,0,114,38,4,0,0,0,23.6001171875,169471,55.024853717055905,1009.2028021083404,33.750309823995735
1772062348.4639397,0,0,0,0,0,0,114,38,4,0,0,0,23.606171875,169146,55.455415286935676,1009.2035239956418,33.744280111905766
1772062350.4769268,0,0,0,0,0,0,114,38,4,0,0,0,23.611640625,170290,55.821551359479336,1009.2087582612802,33.70055993657231
1772062352.489957,0,0,0,0,0,0,114,36,4,0,0,0,23.61671875,171616,55.99213321287794,1009.20971601331,33.69256015483953
1772062354.502898,0,0,0,0,0,0,114,36,4,0,0,0,23.6219921875,172119,56.04516430374695,1009.2109906843277,33.681913264540356
1772062356.5139542,0,0,0,0,0,0,114,36,4,0,0,0,23.628046875,173817,55.98716299676468,1009.2135333231068,33.66067550646645
1772062358.525671,0,0,0,0,0,0,96,30,3,0,0,0,23.63625,171784,55.916406105629605,1009.2086354253311,33.701585944536006
1772062360.5374072,0,0,0,0,0,0,96,30,3,0,0,0,23.644453125,169471,56.087510368137046,1009.2019158137213,33.757712786782534
1772062362.549162,0,0,0,0,0,0,96,30,3,0,0,0,23.6516796875,168984,56.44201142684532,1009.1972533372614,33.796657191728976
1772062364.5620627,0,0,0,0,0,0,102,32,4,0,0,0,23.6591015625,170620,56.72500166464608,1009.1947288532439,33.81774358480062
1772062366.5737674,0,0,0,0,0,0,102,32,4,0,0,0,23.666328125,172119,56.712887713309534,1009.1937084187296,33.826267035028
1772062368.5855575,0,0,0,0,0,0,102,32,4,0,0,0,23.6704296875,174160,56.608503292814774,1009.19125855138,33.846730231039544
1772062370.5985687,0,0,0,0,0,0,114,36,4,0,0,0,23.6751171875,174332,56.43216883507832,1009.1952236794481,33.813610420054104
1772062372.6115673,0,0,0,0,0,0,114,36,4,0,0,0,23.6786328125,175723,56.25583027343066,1009.1991081912744,33.78116408033549
1772062374.6250396,0,0,0,0,0,0,114,36,4,0,0,0,23.6837109375,176603,56.086407901075646,1009.2000644425877,33.773176771736516
1772062376.637473,0,0,0,0,0,0,114,36,3,0,0,0,23.688203125,176426,55.93012124614762,1009.1946053863753,33.81877487423205
1772062378.652865,0,0,0,0,0,0,114,36,3,0,0,0,23.691328125,177314,55.79989259454067,1009.179641588542,33.94376468034214
1772062380.665907,0,0,0,0,0,0,114,36,3,0,0,0,23.6958203125,178571,55.650361183181175,1009.1778250410011,33.95893806452237
1772062382.678998,0,0,0,0,0,0,144,44,5,1,0,0,23.69953125,179116,55.50083719638383,1009.183847677932,33.90863185029316
1772062384.6907225,0,0,0,0,0,0,144,44,5,1,0,0,23.70265625,179116,55.357863839062034,1009.1870979266664,33.88148309423234
