time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772061184.2733026,0,1,1,0,1,1,318,86,21,0,0,0,34.20578125,244755,100,722.9113071253112,2758.687266796297
1772061186.285076,0,1,1,0,1,1,318,86,21,0,0,0,23.0801953125,48295,59.31064127953215,1009.2688048190888,33.19902305061165
1772061188.2968118,0,1,1,0,1,1,318,86,21,0,0,0,23.1055859375,55679,59.713379977255286,1009.2590931506098,33.28013780218296
1772061190.3085542,0,1,1,0,1,1,336,98,25,1,0,0,23.1341015625,64432,60.19748663077528,1009.2526335158411,33.3340909483019
1772061192.320308,1,2,2,1,2,2,336,98,25,1,0,0,23.167890625,73089,60.38938433398898,1009.2510943804684,33.34694639061148
1772061194.3332608,1,2,2,1,2,2,336,98,25,1,0,0,23.19484375,80869,60.4334075154142,1009.2493683927026,33.361362513843105
1772061196.3462758,1,2,3,1,2,3,399,102,28,2,0,0,23.2321484375,87711,60.3453098831256,1009.240788102564,33.43302874107829
1772061198.3592863,1,2,3,1,2,3,399,102,28,2,0,0,23.2469921875,97107,60.080442260016525,1009.248512193219,33.36851383339627
1772061200.3723059,1,2,3,1,2,3,399,102,28,2,0,0,23.274140625,103010,59.66451242467276,1009.2489137618365,33.36515977154023
1772061202.384843,3,4,4,3,4,4,882,196,26,2,0,0,23.299140625,108129,59.6148718343928,1009.2221591663662,33.58862722612061
1772061204.3978095,3,4,5,3,4,5,912,202,26,3,0,0,23.3102734375,113636,59.37699550234841,1009.196548147721,33.80254746193499
1772061206.4108148,2,4,4,2,4,4,963,218,31,4,0,0,23.3128125,118130,59.03858028836827,1009.1642637455245,34.07221449196746
1772061208.423732,2,4,5,2,4,5,1026,224,36,5,0,0,23.3122265625,121720,58.75993342730767,1009.1068813935285,34.55153837707301
1772061210.4354968,2,4,5,2,4,5,1047,222,28,6,0,0,23.304609375,125893,58.57335541190444,1009.0417246910423,35.095829402546556
1772061212.4472077,2,4,4,2,4,4,1104,212,28,7,0,0,23.303046875,128838,58.440747548601706,1008.9700157472369,35.69488792515056
1772061214.4589756,2,5,5,2,5,5,1161,224,32,8,0,0,23.30421875,131825,58.427680837553446,1008.9045662530884,36.241684922242015
1772061216.47213,2,5,5,2,5,5,1173,226,38,9,0,0,23.310078125,133725,58.4682193708913,1008.833982948024,36.831404469835505
1772061218.485083,2,5,5,2,5,5,1161,218,36,11,0,0,23.2923046875,136416,58.419367779645526,1008.7723688828914,37.34621383235933
1772061220.4967995,2,6,6,2,6,6,1128,228,38,11,0,0,23.2735546875,138998,58.19188229943136,1008.7219134618326,37.76780736598678
1772061222.50855,0,4,4,0,4,4,633,130,38,12,0,0,23.2618359375,140550,58.018477619901304,1008.6846914471566,38.07883663863825
1772061224.5215719,0,4,4,0,4,4,603,124,38,12,0,0,23.2520703125,142252,57.964282344763056,1008.6615610536386,38.27212020492733
