time,pm10 standard,pm25 standard,pm100 standard,pm10 env,pm25 env,pm100 env,03um,05um,10um,25um,50um,100um,temp,gas,humidity,pressure,altitude
1772060474.0658662,0,0,0,0,0,0,111,32,1,0,0,0,34.20578125,99972,100,722.9113071253112,2758.687266796297
1772060476.0776994,0,0,0,0,0,0,105,30,0,0,0,0,23.655,22009,59.68640093282275,1009.1753226309016,33.97984040523319
1772060478.0894668,0,0,0,0,0,0,105,30,0,0,0,0,23.6708203125,27429,59.56882793731767,1009.1791430037035,33.94792929213041
1772060480.1012158,0,0,0,0,0,0,105,30,0,0,0,0,23.6950390625,32431,59.57899696509869,1009.1856642691666,33.89345817446765
1772060482.1130211,0,0,0,0,0,0,105,30,0,0,0,0,23.71828125,37221,59.535765562596,1009.188777019117,33.86745795802552
1772060484.1259682,0,0,0,0,0,0,105,30,0,0,0,0,23.7391796875,41571,59.56542477375166,1009.1552960032895,34.14712200987908
1772060486.1383164,0,0,0,0,0,0,105,30,0,0,0,0,23.74953125,47720,59.45377333385752,1009.1393062819515,34.28068543070072
1772060488.1512072,0,0,0,0,0,0,123,24,0,0,0,0,23.7587109375,51938,59.09609530124045,1009.1195923386485,34.445359934101596
1772060490.1642737,0,0,0,0,0,0,123,24,0,0,0,0,23.7520703125,55891,58.670489616176354,1009.0978869318698,34.62667254229152
1772060492.1772268,0,0,0,0,0,0,123,24,0,0,0,0,23.7458203125,59475,58.25247228894215,1009.0585999766719,34.954857804921154
1772060494.1901948,0,0,0,0,0,0,123,24,0,0,0,0,23.7346875,62914,57.90066199712899,1009.0022831234703,35.425321095474686
1772060496.203222,0,0,0,0,0,0,123,24,0,0,0,0,23.7192578125,65926,57.621387127493236,1008.951746382933,35.847516215880965
1772060498.2196612,0,0,0,0,0,0,123,24,0,0,0,0,23.6950390625,68863,57.53228095442498,1008.8997008432023,36.28233407643412
1772060500.6645536,0,0,0,0,0,0,129,24,1,0,0,0,23.6596875,71085,57.441650591162215,1008.8314153618558,36.85285713772669
1772060502.6832273,0,0,0,0,0,0,129,24,1,0,0,0,23.634296875,73639,57.47758879014413,1008.7519741751952,37.51662511762017
1772060504.694981,0,0,0,0,0,0,129,24,1,0,0,0,23.6016796875,76516,57.486162083524604,1008.6990567659145,37.95879811648908
1772060506.7080262,0,0,0,0,0,0,141,22,1,0,0,0,23.56984375,78773,57.389479294219406,1008.6601548142514,38.28387122163173
1772060508.7210443,0,0,0,0,0,0,141,22,1,0,0,0,23.5376171875,80795,57.4046923781058,1008.6224394045765,38.599039017757015
1772060510.7339597,0,0,0,0,0,0,141,22,1,0,0,0,23.498359375,83002,57.6165402911402,1008.5915242840268,38.85738749934286
1772060512.7465663,0,0,0,0,0,0,153,27,1,0,0,0,23.4723828125,84922,57.85027437929109,1008.5712293428807,39.026989781777374
1772060514.7606802,0,0,0,0,0,0,153,27,1,0,0,0,23.4341015625,86847,58.05610534452883,1008.563741429155,39.0895660372302
1772060517.0347228,0,0,0,0,0,0,153,27,1,0,0,0,23.28,89402,58.1135107616384,1008.5612720949965,39.110202266280474
1772060520.6385355,0,0,0,0,0,0,111,15,1,0,0,0,23.172578125,88415,58.32296898084886,1008.5598461506098,39.122118904164324
