time,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um,Temperature C,Gas Ohm,Humidity %%,Pressure hPa,Altitude meters
1772058659,138,42,12,0,0,0,23.3034375,133725,56.69493339,1008.086936,43.07498879
1772058660,138,42,12,0,0,0,23.29640625,135057,56.62762106,1008.061195,43.29018703
1772058661,150,44,12,0,0,0,23.28742188,136100,56.53354434,1008.032381,43.53108996
1772058662,150,44,12,0,0,0,23.27726563,137480,56.39960317,1008.009058,43.72608187
1772058663,150,44,12,0,0,0,23.25441406,138344,56.32358538,1008.004266,43.7661486
1772058664,132,40,10,0,0,0,23.22785156,139770,56.2735652,1007.995464,43.83973893
1772058665,132,40,10,0,0,0,23.2159375,140550,56.23220462,1007.995048,43.84321574
1772058666,132,40,10,0,0,0,23.20929688,142023,56.17173403,1007.988263,43.89994981
1772058667,144,44,10,0,0,0,23.20753906,140662,56.14502942,1007.979994,43.9690818
1772058668,144,44,10,0,0,0,23.21242188,142482,56.29128982,1007.980345,43.96614756
1772058669,144,44,10,0,0,0,23.22179688,141566,56.31906952,1007.984099,43.93475735
1772058670,144,42,8,0,0,0,23.22941406,143176,56.3399885,1007.977751,43.98783538
1772058671,144,42,8,0,0,0,23.23195313,143526,56.4860764,1007.983582,43.9390862
1772058672,144,42,8,0,0,0,23.22921875,143643,56.3532056,1007.970108,44.0517376
1772058673,156,44,8,0,0,0,23.21847656,144823,56.42457548,1007.969704,44.05511955
1772058674,156,44,8,0,0,0,23.205,144704,56.46245858,1007.966828,44.07916106
1772058675,156,44,8,0,0,0,23.19367188,145902,56.4343867,1007.972835,44.02893539
1772058676,186,54,10,0,0,0,23.18429688,146509,56.40659034,1007.967246,44.07566493
1772058677,186,54,10,0,0,0,23.17433594,146753,56.3522283,1007.96807,44.06878162
1772058678,186,54,10,0,0,0,23.16105469,147861,56.33052584,1007.971,44.04427863
1772058679,204,62,12,0,0,0,23.14972656,148734,56.31571712,1007.975171,44.00940676
1772058680,204,62,12,0,0,0,23.14464844,147490,56.3944752,1007.985513,43.92293751
1772058681,204,62,12,0,0,0,23.14933594,147737,56.37525594,1007.994726,43.8459083
1772058682,204,62,8,0,0,0,23.15167969,148986,56.31598731,1008.00025,43.7997284
1772058683,204,62,8,0,0,0,23.15539063,150128,56.29002057,1008.006092,43.7508841
1772058684,204,62,8,0,0,0,23.16046875,150899,56.20468678,1008.006751,43.74536826
1772058685,228,68,10,0,0,0,23.17121094,152071,56.12678535,1008.016328,43.66530277
1772058686,228,68,10,0,0,0,23.18429688,152334,56.0294032,1008.011256,43.7077046
1772058687,228,68,10,0,0,0,23.19503906,152202,55.92513741,1008.006162,43.75029854
1772058688,234,70,10,0,0,0,23.20480469,152597,55.91326734,1007.999529,43.80575128
1772058689,234,70,10,0,0,0,23.21242188,152862,55.87467734,1008.002351,43.78215969
1772058690,234,70,10,0,0,0,23.220625,151158,55.84938447,1008.004261,43.76619052
1772058691,222,66,8,0,0,0,23.22023438,154065,55.80310178,1008.012815,43.69467004
1772058692,222,66,8,0,0,0,23.19914063,155286,55.73418303,1008.008951,43.72697925
1772058693,222,66,8,0,0,0,23.16964844,156528,55.70373415,1008.008367,43.73186161
1772058694,258,74,12,0,0,0,23.13644531,155836,55.65299057,1008.007438,43.73963022
1772058695,258,74,12,0,0,0,23.09914063,157226,55.63468403,1008.00738,43.74011075
1772058696,258,74,12,0,0,0,23.06632813,158072,55.57742684,1008.008889,43.72749483
1772058697,294,86,18,0,0,0,23.03136719,157226,55.54626893,1008.008844,43.72787533
1772058698,294,86,18,0,0,0,22.99816406,158072,55.54172889,1007.998728,43.8124495
1772058699,294,86,18,0,0,0,22.9690625,157930,55.55093603,1007.995067,43.84305815
1772058700,294,88,20,0,0,0,22.9409375,157086,55.56687032,1007.987441,43.90681618
1772058701,294,88,20,0,0,0,22.91574219,159214,55.58320617,1007.993591,43.855399
1772058702,294,88,20,0,0,0,22.89738281,159791,55.67302436,1007.994007,43.85192573
1772058703,294,90,20,0,0,0,22.88371094,158072,55.72393089,1008.001802,43.78674559
1772058704,294,90,20,0,0,0,22.87492188,160812,55.76231939,1008.004457,43.76455189
1772058705,294,90,20,0,0,0,22.87589844,160959,55.77565227,1008.000496,43.79766609
1772058706,294,88,20,0,0,0,22.88664063,160812,55.86954512,1008.011915,43.70219781
1772058707,294,88,20,0,0,0,22.89835938,161253,55.91738115,1008.013874,43.68582065
1772058708,294,88,20,0,0,0,22.91320313,162293,55.95244715,1008.022586,43.61297819
1772058709,264,78,18,0,0,0,22.92902344,162442,55.96122712,1008.023671,43.60390932
1772058710,264,78,18,0,0,0,22.94582031,161994,55.94371611,1008.031792,43.53601545
1772058711,264,78,18,0,0,0,22.96066406,162442,55.95236218,1008.03317,43.52449475
1772058712,240,70,18,0,0,0,22.98,162893,55.94841321,1008.036121,43.49981933
1772058714,240,70,18,0,0,0,23.00011719,163043,55.93135932,1008.029302,43.55683193
1772058715,240,70,18,0,0,0,23.02453125,162893,55.92810897,1008.03108,43.54196971
1772058716,246,72,18,0,0,0,23.05617188,163953,55.89282396,1008.044233,43.43199772
1772058717,246,72,18,0,0,0,23.0878125,163497,55.85093981,1008.048216,43.39869664
